//[03:46:15][D][uart_debug:114]: >>> 0A:00:06:01:00:00:1B:45:00:24:7A
//[03:46:15][D][uart_debug:114]: <<< 0A:00:04:01:00:00:00:37:1A
//[03:46:16][D][uart_debug:114]: >>> 0A:00:06:01:00:00:1B:44:00:B4:7B
//[03:46:16][D][uart_debug:114]: <<< 0A:00:04:01:00:00:00:37:1A

[03:46:16][D][uart_debug:114]: <<< 0B:00:04:05:0C:76:4C:51:EC
[03:46:16][D][uart_debug:114]: >>> 0B:00:06:05:0C:76:4C:00:00:39:FF
[03:46:17][D][uart_debug:114]: >>> 0B:00:06:77:01:06:43:00:00:E9:F2
[03:46:17][D][uart_debug:114]: <<< 0B:00:04:F7:01:06:C3:4E:2B

//[03:46:17][D][uart_debug:114]: >>> 0A:00:06:01:00:00:1B:43:00:84:79
//[03:46:17][D][uart_debug:114]: <<< 0A:00:04:01:00:00:00:37:1A

[03:46:17][D][uart_debug:114]: >>> 0B:00:06:05:11:71:56:00:00:88:33
[03:46:17][D][uart_debug:114]: <<< 0B:00:04:05:11:71:56:AC:FF
[03:46:17][D][uart_debug:114]: >>> 0B:00:06:77:01:05:40:00:00:AD:02
[03:46:17][D][uart_debug:114]: <<< 0B:00:04:F7:01:05:C0:BF:6B

[03:46:17][D][uart_debug:114]: >>> 0B:00:06:05:15:18:3B:00:00:09:4E
[03:46:17][D][uart_debug:114]: <<< 0B:00:04:05:15:18:3B:D0:51
[03:46:19][D][uart_debug:114]: >>> 0B:00:06:77:01:04:41:00:00:91:52
[03:46:19][D][uart_debug:114]: <<< 0B:00:04:F7:01:04:C1:EF:AB
