//[03:47:25][D][uart_debug:114]: <<< 0A:00:04:01:00:00:00:37:1A
//[03:47:26][D][uart_debug:114]: >>> 0A:00:06:01:00:00:1B:3A:00:14:5A
//                                   0A:00:06:01:00:00:1B:3A:00:14:5A
//                                   0A:00:06:01:00:00:1B:39:00:E4:5A
//                                   0A:00:06:01:00:00:1B:37:00:84:5E
//[03:47:26][D][uart_debug:114]: <<< 0A:00:04:01:00:00:00:37:1A

[03:47:26][D][uart_debug:114]: >>> 0B:00:06:05:0C:76:4C:00:00:39:FF
[03:47:26][D][uart_debug:114]: <<< 0B:00:04:05:0C:76:4C:51:EC
[03:47:26][D][uart_debug:114]: >>> 0B:00:06:77:01:06:43:00:00:E9:F2
[03:47:26][D][uart_debug:114]: <<< 0B:00:04:F7:01:06:C3:4E:2B
[03:47:26][D][uart_debug:114]: >>> 0B:00:06:05:11:71:56:00:00:88:33
[03:47:26][D][uart_debug:114]: <<< 0B:00:04:05:11:71:56:AC:FF
[03:47:27][D][uart_debug:114]: >>> 0B:00:06:77:01:05:40:00:00:AD:02
[03:47:27][D][uart_debug:114]: <<< 0B:00:04:F7:01:05:C0:BF:6B

//[03:47:27][D][uart_debug:114]: >>> 0A:00:06:01:00:00:1B:36:00:14:5F
//[03:47:27][D][uart_debug:114]: <<< 0A:00:04:01:00:00:00:37:1A

[03:47:27][D][uart_debug:114]: >>> 0B:00:06:05:15:18:3B:00:00:09:4E
[03:47:27][D][uart_debug:114]: <<< 0B:00:04:05:15:18:3B:D0:51
[03:47:29][D][uart_debug:114]: >>> 0B:00:06:77:01:04:41:00:00:91:52
[03:47:29][D][uart_debug:114]: <<< 0B:00:04:F7:01:04:C1:EF:AB

//[03:47:31][D][uart_debug:114]: >>> 0A:00:06:01:00:00:1B:36:00:14:5F
//[03:47:31][D][uart_debug:114]: <<< 0A:00:04:01:00:00:00:37:1A
//[03:47:32][D][uart_debug:114]: >>> 0A:00:06:01:00:00:1B:35:00:E4:5F
//[03:47:32][D][uart_debug:114]: <<< 0A:00:04:01:00:00:00:37:1A

[03:47:33][D][uart_debug:114]: >>> 0B:00:06:77:00:00:44:00:00:60:7E
