//[04:06:20][D][uart_debug:114]: <<< 0A:00:04:01:00:00:00:37:1A
//[04:06:21][D][uart_debug:114]: >>> 0A:00:06:01:00:00:1B:2B:00:44:56
//[04:06:21][D][uart_debug:114]: <<< 0A:00:04:01:00:00:00:37:1A
//[04:06:24][D][uart_debug:114]: >>> 0A:00:06:01:00:00:1B:28:00:B4:56
//[04:06:24][D][uart_debug:114]: <<< 0A:00:04:01:00:00:00:37:1A
//[04:06:25][D][uart_debug:114]: >>> 0A:00:06:01:00:00:1B:26:00:D4:52
//[04:06:25][D][uart_debug:114]: <<< 0A:00:04:01:00:00:00:37:1A

[04:06:25][D][uart_debug:114]: >>> 0B:00:06:05:0C:76:4C:00:00:39:FF
[04:06:25][D][uart_debug:114]: <<< 0B:00:04:05:0C:76:4C:51:EC
[04:06:27][D][uart_debug:114]: >>> 0B:00:06:77:01:06:43:00:00:E9:F2
[04:06:27][D][uart_debug:114]: <<< 0B:00:04:F7:01:06:C3:4E:2B

[04:06:27][D][uart_debug:114]: >>> 0B:00:06:05:11:71:56:00:00:88:33
[04:06:27][D][uart_debug:114]: <<< 0B:00:04:05:11:71:56:AC:FF
[04:06:27][D][uart_debug:114]: >>> 0B:00:06:77:01:05:40:00:00:AD:02
[04:06:27][D][uart_debug:114]: <<< 0B:00:04:F7:01:05:C0:BF:6B

//[04:06:27][D][uart_debug:114]: >>> 0A:00:06:01:00:00:1B:25:00:24:52
//[04:06:27][D][uart_debug:114]: <<< 0A:00:04:01:00:00:00:37:1A

[04:06:27][D][uart_debug:114]: >>> 0B:00:06:05:15:18:3B:00:00:09:4E
[04:06:27][D][uart_debug:114]: <<< 0B:00:04:05:15:18:3B:D0:51
[04:06:27][D][uart_debug:114]: >>> 0B:00:06:77:01:04:41:00:00:91:52
[04:06:27][D][uart_debug:114]: <<< 0B:00:04:F7:01:04:C1:EF:AB
