//[03:43:44][D][uart_debug:114]: >>> 0A:00:06:01:00:00:1C:08:00:B5:FE
//[03:43:45][D][uart_debug:114]: <<< 0A:00:04:01:00:00:00:37:1A
//[03:43:47][D][uart_debug:114]: >>> 0A:00:06:01:00:00:1C:07:00:45:FB
//[03:43:47][D][uart_debug:114]: <<< 0A:00:04:01:00:00:00:37:1A
//[03:43:48][D][uart_debug:114]: >>> 0A:00:06:01:00:00:1C:05:00:25:FA
//[03:43:48][D][uart_debug:114]: <<< 0A:00:04:01:00:00:00:37:1A
//[03:43:51][D][uart_debug:114]: >>> 0A:00:06:01:00:00:1C:05:00:25:FA
//[03:43:51][D][uart_debug:114]: <<< 0A:00:04:01:00:00:00:37:1A

[03:43:51][D][uart_debug:114]: >>> 0B:00:06:05:11:71:56:00:00:88:33
[03:43:51][D][uart_debug:114]: <<< 0B:00:04:05:11:71:56:AC:FF
[03:43:52][D][uart_debug:114]: >>> 0B:00:06:77:01:05:40:00:00:AD:02
[03:43:51][D][uart_debug:114]: <<< 0B:00:04:F7:01:05:C0:BF:6B

//[03:43:52][D][uart_debug:114]: >>> 0A:00:06:01:00:00:1C:04:00:B5:FB
//[03:43:52][D][uart_debug:114]: <<< 0A:00:04:01:00:00:00:37:1A

[03:43:52][D][uart_debug:114]: >>> 0B:00:06:05:0C:76:4C:00:00:39:FF
[03:43:52][D][uart_debug:114]: <<< 0B:00:04:05:0C:76:4C:51:EC
[03:43:52][D][uart_debug:114]: >>> 0B:00:06:77:01:06:43:00:00:E9:F2
[03:43:52][D][uart_debug:114]: <<< 0B:00:04:F7:01:06:C3:4E:2B

//[03:43:52][D][uart_debug:114]: >>> 0A:00:06:01:00:00:1C:02:00:15:F8
//[03:43:52][D][uart_debug:114]: <<< 0A:00:04:01:00:00:00:37:1A

[03:43:54][D][uart_debug:114]: >>> 0B:00:06:05:01:74:43:00:00:43:E3
[03:43:54][D][uart_debug:114]: <<< 0B:00:04:05:01:F4:C3:96:5C
[03:43:54][D][uart_debug:114]: >>> 0B:00:06:77:01:07:42:00:00:D5:A2
[03:43:54][D][uart_debug:114]: <<< 0B:00:04:F7:01:07:C2:1E:EB
