//[03:46:39][D][uart_debug:114]: >>> 0A:00:06:01:00:00:1B:46:00:D4:7A
//[03:46:42][D][uart_debug:114]: <<< 0A:00:04:01:00:00:00:37:1A
//[03:46:42][D][uart_debug:114]: >>> 0A:00:06:01:00:00:1B:47:00:44:7B
//[03:46:39][D][uart_debug:114]: <<< 0A:00:04:01:00:00:00:37:1A
//[03:46:42][D][uart_debug:114]: >>> 0A:00:06:01:00:00:1B:47:00:44:7B
//[03:46:42][D][uart_debug:114]: <<< 0A:00:04:01:00:00:00:37:1A

[03:46:44][D][uart_debug:114]: >>> 0B:00:06:05:11:71:56:00:00:88:33
[03:46:44][D][uart_debug:114]: <<< 0B:00:04:05:11:71:56:AC:FF
[03:46:44][D][uart_debug:114]: >>> 0B:00:06:77:01:05:40:00:00:AD:02
[03:46:44][D][uart_debug:114]: <<< 0B:00:04:F7:01:05:C0:BF:6B

//[03:46:45][D][uart_debug:114]: >>> 0A:00:06:01:00:00:1B:48:00:B4:7E
//[03:46:45][D][uart_debug:114]: <<< 0A:00:04:01:00:00:00:37:1A

[03:46:45][D][uart_debug:114]: >>> 0B:00:06:05:0C:76:4C:00:00:39:FF
[03:46:45][D][uart_debug:114]: <<< 0B:00:04:05:0C:76:4C:51:EC
[03:46:45][D][uart_debug:114]: >>> 0B:00:06:77:01:06:43:00:00:E9:F2
[03:46:45][D][uart_debug:114]: <<< 0B:00:04:F7:01:06:C3:4E:2B

[03:46:46][D][uart_debug:114]: >>> 0B:00:06:05:01:74:43:00:00:43:E3
[03:46:46][D][uart_debug:114]: <<< 0B:00:04:05:01:F4:C3:96:5C
[03:46:46][D][uart_debug:114]: >>> 0B:00:06:77:01:07:42:00:00:D5:A2
[03:46:46][D][uart_debug:114]: <<< 0B:00:04:F7:01:07:C2:1E:EB

//[03:46:46][D][uart_debug:114]: >>> 0A:00:06:01:00:00:1B:47:00:44:7B
//[03:46:47][D][uart_debug:114]: <<< 0A:00:04:01:00:00:00:37:1A

[03:46:48][D][uart_debug:114]: >>> 0B:00:06:05:01:74:43:00:00:43:E3
[03:46:48][D][uart_debug:114]: <<< 0B:00:04:05:01:F4:C3:96:5C
[03:46:48][D][uart_debug:114]: >>> 0B:00:06:77:01:07:42:00:00:D5:A2
[03:46:48][D][uart_debug:114]: <<< 0B:00:04:F7:01:07:C2:1E:EB

//[03:46:49][D][uart_debug:114]: >>> 0A:00:06:01:00:00:1B:46:00:D4:7A
//[03:46:49][D][uart_debug:114]: <<< 0A:00:04:01:00:00:00:37:1A
