// [04:57:09][D][uart_debug:114]: >>> 0A:00:06:01:00:00:1D:11:00:E5:A4
// [04:57:09][D][uart_debug:114]: <<< 0A:00:04:01:00:00:00:37:1A
// [04:57:09][D][uart_debug:114]: >>> 0A:00:06:01:00:00:1D:10:00:75:A5
// [04:57:09][D][uart_debug:114]: <<< 0A:00:04:01:00:00:00:37:1A
// [04:57:10][D][uart_debug:114]: >>> 0A:00:06:01:00:00:1D:0F:00:45:AD
// [04:57:10][D][uart_debug:114]: <<< 0A:00:04:01:00:00:00:37:1A

[04:57:10][D][uart_debug:114]: >>> 0B:00:06:01:18:0D:27:00:00:86:A7
[04:57:10][D][uart_debug:114]: <<< 0B:00:04:01:18:8D:A7:1A:AE
[04:57:10][D][uart_debug:114]: >>> 0B:00:06:77:01:07:42:00:00:D5:A2
[04:57:10][D][uart_debug:114]: >>> 0B:00:06:01:18:0D:27:00:00:86:A7
[04:57:10][D][uart_debug:114]: <<< 0B:00:04:F7:01:07:C2:1E:EB
[04:57:10][D][uart_debug:114]: <<< 0B:00:04:01:18:8D:A7:1A:AE
[04:57:10][D][uart_debug:114]: >>> 0B:00:06:01:17:0E:2B:00:00:C0:33
[04:57:10][D][uart_debug:114]: <<< 0B:00:04:01:17:8E:AB:EC:9E
[04:57:10][D][uart_debug:114]: >>> 0B:00:06:01:16:26:02:00:00:68:D6
[04:57:10][D][uart_debug:114]: <<< 0B:00:04:01:16:26:02:92:70
[04:57:10][D][uart_debug:114]: >>> 0B:00:06:01:14:2A:0C:00:00:3B:CD
[04:57:10][D][uart_debug:114]: <<< 0B:00:04:01:14:AA:8C:F6:35
[04:57:11][D][uart_debug:114]: >>> 0B:00:06:01:12:72:52:00:00:89:37
[04:57:11][D][uart_debug:114]: <<< 0B:00:04:01:12:F2:D2:CF:6F

// [04:57:11][D][uart_debug:114]: >>> 0A:00:06:01:00:00:1D:0B:00:85:AF
// [04:57:11][D][uart_debug:114]: <<< 0A:00:04:01:00:00:00:37:1A
