
// [04:58:25][D][uart_debug:114]: >>> 0A:00:06:01:00:00:1C:66:00:D5:D2
// [04:58:25][D][uart_debug:114]: <<< 0A:00:04:01:00:00:00:37:1A
// [04:58:26][D][uart_debug:114]: >>> 0A:00:06:01:00:00:1C:66:00:D5:D2
// [04:58:26][D][uart_debug:114]: <<< 0A:00:04:01:00:00:00:37:1A

[04:58:26][D][uart_debug:114]: >>> 0B:00:06:01:18:0D:27:00:00:86:A7
[04:58:26][D][uart_debug:114]: <<< 0B:00:04:01:18:8D:A7:1A:AE
[04:58:26][D][uart_debug:114]: >>> 0B:00:06:77:01:07:42:00:00:D5:A2
[04:58:26][D][uart_debug:114]: <<< 0B:00:04:F7:01:07:C2:1E:EB
[04:58:26][D][uart_debug:114]: >>> 0B:00:06:01:18:0D:27:00:00:86:A7
[04:58:26][D][uart_debug:114]: <<< 0B:00:04:01:18:8D:A7:1A:AE
[04:58:26][D][uart_debug:114]: >>> 0B:00:06:01:17:0E:2B:00:00:C0:33
[04:58:26][D][uart_debug:114]: <<< 0B:00:04:01:17:8E:AB:EC:9E
[04:58:26][D][uart_debug:114]: >>> 0B:00:06:01:16:26:02:00:00:68:D6
[04:58:26][D][uart_debug:114]: <<< 0B:00:04:01:16:26:02:92:70
[04:58:26][D][uart_debug:114]: >>> 0B:00:06:01:14:2A:0C:00:00:3B:CD
[04:58:26][D][uart_debug:114]: <<< 0B:00:04:01:14:AA:8C:F6:35
[04:58:26][D][uart_debug:114]: >>> 0B:00:06:01:12:72:52:00:00:89:37
[04:58:27][D][uart_debug:114]: <<< 0B:00:04:01:12:F2:D2:CF:6F
[04:58:27][D][uart_debug:114]: >>> 0B:00:06:01:11:71:52:00:00:CD:73
[04:58:27][D][uart_debug:114]: <<< 0B:00:04:01:11:71:52:5F:FF
[04:58:27][D][uart_debug:114]: >>> 0B:00:06:01:0F:19:24:00:00:75:26
[04:58:27][D][uart_debug:114]: <<< 0B:00:04:01:0F:19:24:7F:31
[04:58:27][D][uart_debug:114]: >>> 0B:00:06:01:0C:41:7F:00:00:C6:00
[04:58:27][D][uart_debug:114]: <<< 0B:00:04:01:0C:C1:FF:24:DB
[04:58:27][D][uart_debug:114]: >>> 0B:00:06:01:07:11:24:00:00:D4:C5
[04:58:27][D][uart_debug:114]: <<< 0B:00:04:01:07:91:A4:1D:D7
[04:58:27][D][uart_debug:114]: >>> 0B:00:06:01:02:2C:1C:00:00:B5:85
[04:58:27][D][uart_debug:114]: <<< 0B:00:04:01:02:AC:9C:5E:D6

// [04:58:27][D][uart_debug:114]: >>> 0A:00:06:01:00:00:1C:65:00:25:D2
// [04:58:27][D][uart_debug:114]: <<< 0A:00:04:01:00:00:00:37:1A
