
// [04:57:57][D][uart_debug:114]: >>> 0A:00:06:01:00:00:1C:6A:00:D5:D7
// [04:57:57][D][uart_debug:114]: <<< 0A:00:04:01:00:00:00:37:1A
// [04:57:59][D][uart_debug:114]: >>> 0A:00:06:01:00:00:1C:69:00:25:D7
// [04:57:59][D][uart_debug:114]: <<< 0A:00:04:01:00:00:00:37:1A

[04:57:59][D][uart_debug:114]: >>> 0B:00:06:01:10:5B:79:00:00:1D:36
[04:57:59][D][uart_debug:114]: <<< 0B:00:04:01:10:DB:F9:80:91
[04:57:59][D][uart_debug:114]: >>> 0B:00:06:77:01:00:45:00:00:60:12
[04:57:59][D][uart_debug:114]: <<< 0B:00:04:F7:01:00:C5:EC:A8
[04:57:59][D][uart_debug:114]: >>> 0B:00:06:01:10:5B:79:00:00:1D:36
[04:57:59][D][uart_debug:114]: <<< 0B:00:04:01:10:DB:F9:80:91
[04:57:59][D][uart_debug:114]: >>> 0B:00:06:01:12:3B:1B:00:00:03:F0
[04:57:59][D][uart_debug:114]: <<< 0B:00:04:01:12:BB:9B:A9:99
[04:57:59][D][uart_debug:114]: >>> 0B:00:06:01:14:73:55:00:00:B4:0F
[04:57:59][D][uart_debug:114]: <<< 0B:00:04:01:14:73:55:FC:AF
[04:57:59][D][uart_debug:114]: >>> 0B:00:06:01:15:79:5E:00:00:6E:40
[04:57:59][D][uart_debug:114]: <<< 0B:00:04:01:15:F9:DE:3B:D9
[04:57:59][D][uart_debug:114]: >>> 0B:00:06:01:17:61:44:00:00:C9:1E
