
// [04:58:47][D][uart_debug:114]: >>> 0A:00:06:01:00:00:1C:5B:00:45:C2
// [04:58:47][D][uart_debug:114]: <<< 0A:00:04:01:00:00:00:37:1A
// [04:58:48][D][uart_debug:114]: >>> 0A:00:06:01:00:00:1C:5A:00:D5:C3
// [04:58:48][D][uart_debug:114]: <<< 0A:00:04:01:00:00:00:37:1A

[04:58:48][D][uart_debug:114]: >>> 0B:00:06:01:10:5B:79:00:00:1D:36
[04:58:48][D][uart_debug:114]: <<< 0B:00:04:01:10:DB:F9:80:91
[04:58:49][D][uart_debug:114]: >>> 0B:00:06:77:01:00:45:00:00:60:12
[04:58:49][D][uart_debug:114]: <<< 0B:00:04:F7:01:00:C5:EC:A8
[04:58:49][D][uart_debug:114]: >>> 0B:00:06:01:10:5B:79:00:00:1D:36
[04:58:49][D][uart_debug:114]: <<< 0B:00:04:01:10:DB:F9:80:91
[04:58:49][D][uart_debug:114]: >>> 0B:00:06:01:12:3B:1B:00:00:03:F0
[04:58:49][D][uart_debug:114]: <<< 0B:00:04:01:12:BB:9B:A9:99
[04:58:49][D][uart_debug:114]: >>> 0B:00:06:01:14:73:55:00:00:B4:0F
[04:58:49][D][uart_debug:114]: <<< 0B:00:04:01:14:73:55:FC:AF
[04:58:49][D][uart_debug:114]: >>> 0B:00:06:01:15:79:5E:00:00:6E:40
[04:58:49][D][uart_debug:114]: <<< 0B:00:04:01:15:F9:DE:3B:D9
[04:58:49][D][uart_debug:114]: >>> 0B:00:06:01:17:61:44:00:00:C9:1E
[04:58:49][D][uart_debug:114]: <<< 0B:00:04:01:17:61:44:50:93
[04:58:49][D][uart_debug:114]: >>> 0B:00:06:01:18:6F:45:00:00:E0:19
[04:58:49][D][uart_debug:114]: <<< 0B:00:04:01:18:6F:45:F3:66

// [04:58:49][D][uart_debug:114]: >>> 0A:00:06:01:00:00:1C:57:00:45:C7
// [04:58:49][D][uart_debug:114]: <<< 0A:00:04:01:00:00:00:37:1A

[04:58:49][D][uart_debug:114]: >>> 0B:00:06:01:19:5F:74:00:00:EF:7A
[04:58:49][D][uart_debug:114]: <<< 0B:00:04:01:19:5F:74:E7:E2
[04:58:49][D][uart_debug:114]: >>> 0B:00:06:01:1A:50:78:00:00:F8:FD
[04:58:49][D][uart_debug:114]: <<< 0B:00:04:01:1A:50:78:12:17
[04:58:49][D][uart_debug:114]: <<< 0B:00:04:01:1B:20:09:36:A3
[04:58:49][D][uart_debug:114]: >>> 0B:00:06:01:1B:20:09:00:00:E3:8A
[04:58:50][D][uart_debug:114]: >>> 0B:00:06:01:1B:3C:15:00:00:B5:4C
[04:58:50][D][uart_debug:114]: <<< 0B:00:04:01:1B:BC:95:5F:CA
[04:58:51][D][uart_debug:114]: <<< 0B:00:04:01:1B:BD:94:0F:0A
[04:58:51][D][uart_debug:114]: >>> 0B:00:06:01:1B:3D:14:00:00:89:1C
