
// [06:52:04][D][uart_debug:114]: >>> 0A:00:06:01:00:00:1B:6D:00:24:64
// [06:52:04][D][uart_debug:114]: <<< 0A:00:04:01:00:00:00:37:1A

[06:52:04][D][uart_debug:114]: >>> 0B:00:06:01:15:79:5E:00:00:6E:40
[06:52:04][D][uart_debug:114]: <<< 0B:00:04:01:15:F9:DE:3B:D9
[06:52:04][D][uart_debug:114]: >>> 0B:00:06:77:01:03:46:00:00:24:E2
[06:52:04][D][uart_debug:114]: <<< 0B:00:04:F7:01:03:C6:1D:E8
[06:52:04][D][uart_debug:114]: >>> 0B:00:06:01:15:79:5E:00:00:6E:40
[06:52:04][D][uart_debug:114]: <<< 0B:00:04:01:15:F9:DE:3B:D9
[06:52:04][D][uart_debug:114]: <<< 0B:00:04:F7:01:03:C6:1D:E8
[06:52:04][D][uart_debug:114]: >>> 0B:00:06:77:01:03:46:00:00:24:E2

// [06:52:06][D][uart_debug:114]: >>> 0A:00:06:01:00:00:1B:6C:00:B4:65
// [06:52:06][D][uart_debug:114]: <<< 0A:00:04:01:00:00:00:37:1A

[06:52:06][D][uart_debug:114]: >>> 0B:00:06:01:16:26:02:00:00:68:D6
[06:52:06][D][uart_debug:114]: <<< 0B:00:04:01:16:26:02:92:70
[06:52:06][D][uart_debug:114]: >>> 0B:00:06:77:01:03:46:00:00:24:E2
[06:52:06][D][uart_debug:114]: <<< 0B:00:04:F7:01:03:C6:1D:E8

// [06:52:08][D][uart_debug:114]: >>> 0A:00:06:01:00:00:1B:6B:00:84:67
// [06:52:08][D][uart_debug:114]: <<< 0A:00:04:01:00:00:00:37:1A
