// [08:06:20][D][uart_debug:114]: >>> 0A:00:06:01:00:00:1B:40:00:74:79
// [08:06:20][D][uart_debug:114]: <<< 0A:00:04:01:00:00:00:37:1A
// [08:06:22][D][uart_debug:114]: >>> 0A:00:06:01:00:00:1B:41:00:E4:78
// [08:06:22][D][uart_debug:114]: <<< 0A:00:04:01:00:00:00:37:1A
// [08:06:23][D][uart_debug:114]: >>> 0A:00:06:01:00:00:1B:41:00:E4:78
// [08:06:23][D][uart_debug:114]: <<< 0A:00:04:01:00:00:00:37:1A

[08:06:23][D][uart_debug:114]: >>> 0B:00:06:01:0A:10:28:00:00:EA:29
[08:06:23][D][uart_debug:114]: <<< 0B:00:04:01:0A:10:28:2B:27

/D [08:06:23][D][uart_debug:114]: >>> 0B:00:06:77:01:07:42:00:00:D5:A2
/D [08:06:23][D][uart_debug:114]: <<< 0B:00:04:F7:01:07:C2:1E:EB

[08:06:23][D][uart_debug:114]: >>> 0B:00:06:01:0A:10:28:00:00:EA:29
[08:06:23][D][uart_debug:114]: <<< 0B:00:04:01:0A:10:28:2B:27
[08:06:23][D][uart_debug:114]: >>> 0B:00:06:01:09:67:5C:00:00:44:36
[08:06:23][D][uart_debug:114]: <<< 0B:00:04:01:09:E7:DC:9C:90
[08:06:23][D][uart_debug:114]: >>> 0B:00:06:01:09:3F:04:00:00:F7:A4
[08:06:23][D][uart_debug:114]: <<< 0B:00:04:01:09:BF:84:A6:AA
[08:06:24][D][uart_debug:114]: >>> 0B:00:06:01:09:01:3A:00:00:D3:C8
[08:06:24][D][uart_debug:114]: <<< 0B:00:04:01:09:81:BA:16:3B
[08:06:24][D][uart_debug:114]: >>> 0B:00:06:01:09:45:7E:00:00:36:9C
[08:06:24][D][uart_debug:114]: <<< 0B:00:04:01:09:45:7E:45:68
[08:06:24][D][uart_debug:114]: >>> 0B:00:06:01:08:68:52:00:00:53:69
[08:06:24][D][uart_debug:114]: <<< 0B:00:04:01:08:E8:D2:68:45
[08:06:24][D][uart_debug:114]: >>> 0B:00:06:01:08:0B:31:00:00:09:87
[08:06:24][D][uart_debug:114]: <<< 0B:00:04:01:08:8B:B1:B1:2D
[08:06:24][D][uart_debug:114]: >>> 0B:00:06:01:08:1D:27:00:00:85:62
[08:06:24][D][uart_debug:114]: <<< 0B:00:04:01:08:1D:27:7F:C2
[08:06:24][D][uart_debug:114]: >>> 0B:00:06:01:07:22:17:00:00:9F:3A
[08:06:24][D][uart_debug:114]: <<< 0B:00:04:01:07:A2:97:F8:83
[08:06:24][D][uart_debug:114]: >>> 0B:00:06:01:07:1C:29:00:00:BB:56
[08:06:24][D][uart_debug:114]: <<< 0B:00:04:01:07:1C:29:28:72
[08:06:24][D][uart_debug:114]: >>> 0B:00:06:01:07:1C:29:00:00:BB:56
[08:06:24][D][uart_debug:114]: <<< 0B:00:04:01:07:1C:29:28:72

// [08:06:25][D][uart_debug:114]: >>> 0A:00:06:01:00:00:1B:3D:00:24:58
// [08:06:25][D][uart_debug:114]: <<< 0A:00:04:01:00:00:00:37:1A

[08:06:25][D][uart_debug:114]: >>> 0B:00:06:01:07:22:17:00:00:9F:3A
[08:06:25][D][uart_debug:114]: <<< 0B:00:04:01:07:A2:97:F8:83

/D [08:06:25][D][uart_debug:114]: >>> 0B:00:06:77:00:00:44:00:00:60:7E
/D [08:06:25][D][uart_debug:114]: <<< 0B:00:04:F7:80:00:44:A4:38

[08:06:25][D][uart_debug:114]: >>> 0B:00:06:01:07:22:17:00:00:9F:3A
[08:06:25][D][uart_debug:114]: <<< 0B:00:04:01:07:A2:97:F8:83
[08:06:25][D][uart_debug:114]: >>> 0B:00:06:01:08:1D:27:00:00:85:62
[08:06:25][D][uart_debug:114]: <<< 0B:00:04:01:08:1D:27:7F:C2
[08:06:25][D][uart_debug:114]: >>> 0B:00:06:01:08:0B:31:00:00:09:87
[08:06:25][D][uart_debug:114]: <<< 0B:00:04:01:08:8B:B1:B1:2D
[08:06:25][D][uart_debug:114]: >>> 0B:00:06:01:08:68:52:00:00:53:69
[08:06:25][D][uart_debug:114]: <<< 0B:00:04:01:08:E8:D2:68:45
[08:06:26][D][uart_debug:114]: >>> 0B:00:06:01:09:45:7E:00:00:36:9C
[08:06:26][D][uart_debug:114]: <<< 0B:00:04:01:09:45:7E:45:68
[08:06:26][D][uart_debug:114]: >>> 0B:00:06:01:09:01:3A:00:00:D3:C8
[08:06:26][D][uart_debug:114]: <<< 0B:00:04:01:09:81:BA:16:3B
[08:06:26][D][uart_debug:114]: >>> 0B:00:06:01:09:3F:04:00:00:F7:A4
[08:06:26][D][uart_debug:114]: <<< 0B:00:04:01:09:BF:84:A6:AA
[08:06:26][D][uart_debug:114]: >>> 0B:00:06:01:09:67:5C:00:00:44:36
[08:06:26][D][uart_debug:114]: <<< 0B:00:04:01:09:E7:DC:9C:90
[08:06:26][D][uart_debug:114]: >>> 0B:00:06:01:0A:10:28:00:00:EA:29
[08:06:26][D][uart_debug:114]: <<< 0B:00:04:01:0A:10:28:2B:27
[08:06:26][D][uart_debug:114]: >>> 0B:00:06:01:0A:35:0D:00:00:2D:33
[08:06:26][D][uart_debug:114]: <<< 0B:00:04:01:0A:35:0D:60:FC
[08:06:26][D][uart_debug:114]: >>> 0B:00:06:01:0A:35:0D:00:00:2D:33
[08:06:26][D][uart_debug:114]: <<< 0B:00:04:01:0A:35:0D:60:FC
